Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total Consumo
ene-00;308.156,82;202.645,20;634.667,06;510.802,02;1.750.544,64
feb-00;307.766,31;205.530,96;642.380,66;513.297,27;1.773.220,22
mar-00;331.910,29;229.499,56;699.807,25;561.409,85;1.909.498,79
abr-00;315.648,08;210.680,40;586.803,98;526.328,48;1.800.932,86
may-00;319.667,97;208.164,34;656.948,20;527.832,31;1.941.771,90
jun-00;300.347,70;195.088,74;570.919,88;495.436,44;1.769.366,26
jul-00;308.305,93;204.556,77;576.436,02;512.862,70;1.673.278,98
ago-00;323.011,86;218.388,51;593.770,77;541.400,37;1.810.002,79
sep-00;326.455,72;213.906,96;590.145,40;540.362,68;1.725.127,08
oct-00;323.843,63;213.606,65;641.113,36;537.450,28;1.737.120,01
nov-00;320.788,08;209.227,48;657.086,30;530.015,56;1.795.294,07
dic-00;366.987,56;230.020,70;673.282,26;597.008,26;1.845.363,41
ene-01;300.242,78;164.547,35;569.328,79;464.790,13;1.714.081,59
feb-01;301.483,40;174.838,81;597.749,83;476.322,21;1.739.031,76
mar-01;355.572,83;201.992,65;736.085,97;557.565,48;1.988.404,31
abr-01;355.826,76;198.683,39;606.257,66;554.510,15;1.829.317,82
may-01;336.040,04;182.504,09;664.082,66;518.544,13;1.948.459,78
jun-01;308.804,70;201.379,48;559.333,03;510.184,18;1.718.453,05
jul-01;350.501,97;214.980,24;589.452,73;565.482,21;1.921.045,63
ago-01;348.414,65;204.646,77;568.546,37;553.061,42;1.873.590,93
sep-01;324.393,96;188.292,35;533.108,39;512.686,31;1.691.157,20
oct-01;366.261,63;225.240,95;603.371,18;591.502,58;1.900.781,31
nov-01;351.890,63;210.324,95;626.156,18;562.215,58;2.074.265,31
dic-01;403.561,63;223.209,95;664.190,18;626.771,58;1.984.361,31
ene-02;368.935,53;200.309,85;726.672,60;569.245,38;2.112.825,45
feb-02;348.917,79;183.119,34;694.344,78;532.037,13;2.064.927,45
mar-02;385.044,97;212.711,71;656.379,29;597.756,68;2.029.895,69
abr-02;379.741,98;204.765,62;683.646,17;584.507,60;2.043.917,24
may-02;375.054,64;201.083,51;707.165,47;576.138,15;2.169.205,60
jun-02;371.138,59;187.629,42;667.820,71;558.768,01;1.970.931,30
