Fecha;Gasolina superior;Gasolina regular;Diesel;"Total
gasolinas";Total importación
ene/2001; 373.963,96 ; 177.776,50 ;566.101,99;551.740,46;2.312.639,05
feb/2001; 243.091,07 ; 123.115,99 ;489.525,80;366.207,06;1.769.208,76
mar/2001; 312.084,38 ; 161.726,42 ;575.559,68;473.810,80;1.945.770,26
abr/2001; 285.054,89 ; 127.338,74 ;437.745,42;412.393,63;1.623.637,76
may/2001; 300.913,67 ; 168.730,19 ;552.609,13;469.643,86;2.262.726,64
jun/2001; 333.217,19 ; 152.899,09 ;497.855,26;486.116,28;1.824.276,55
jul/2001; 195.071,86 ; 136.299,13 ;302.350,02;331.370,99;1.394.477,93
ago/2001; 268.153,26 ; 139.365,07 ;464.159,13;407.518,33;1.972.910,20
sep/2001; 308.439,07 ; 233.643,75 ;321.952,94;542.082,82;1.844.364,84
oct/2001; 305.102,28 ; 141.550,22 ;438.989,55;446.652,50;2.035.583,98
nov/2001; 256.638,19 ; 165.841,46 ;440.245,35;422.479,65;1.583.854,01
dic/2001; 277.145,05 ; 149.217,67 ;479.983,27;426.362,72;1.813.372,46
ene/2002; 271.479,00 ; 178.585,93 ;500.041,32;450.064,93;2.214.211,79
feb/2002; 365.657,75 ; 144.447,25 ;686.923,83;510.105,00;2.096.131,61
mar/2002; 246.292,60 ; 104.673,64 ;432.538,46;350.966,24;1.917.417,14
abr/2002; 310.256,30 ; 190.339,00 ;424.667,36;500.595,30;1.926.443,67
may/2002; 363.311,76 ; 194.830,10 ;497.781,66;558.141,86;1.940.745,86
jun/2002; 250.123,19 ; 137.050,80 ;496.826,62;387.173,99;2.263.887,75
jul/2002; 428.842,80 ; 222.408,00 ;636.727,84;651.250,80;2.115.006,12
ago/2002; 298.280,33 ; 143.795,00 ;346.225,00;442.075,33;1.720.984,22
sep/2002; 331.053,70 ; 156.956,90 ;638.933,22;488.010,60;1.661.151,31
oct/2002; 352.055,50 ; 195.426,80 ;703.749,81;547.482,30;1.873.908,09
nov/2002; 291.188,76 ; 153.185,70 ;573.289,50;444.374,46;1.789.660,83
dic/2002; 440.677,81 ; 167.596,71 ;678.749,64;608.274,52;2.093.020,71
ene/2003; 425.185,50 ; 228.269,50 ;797.344,38;653.455,00;2.172.887,58
feb/2003; 443.849,85 ; 214.490,70 ;765.912,66;658.340,55;2.004.305,05
mar/2003; 363.352,66 ; 161.257,48 ;693.942,31;524.610,14;2.021.898,55
abr/2003; 335.444,69 ; 189.824,89 ;873.103,10;525.269,58;2.141.681,44
may/2003; 459.025,69 ; 269.981,86 ;625.190,08;729.007,55;2.105.743,01
jun/2003; 372.486,53 ; 182.254,23 ;671.882,83;554.740,76;1.874.349,16
jul/2003; 400.922,97 ; 133.668,20 ;822.014,55;534.591,17;2.085.145,14
ago/2003; 292.365,04 ; 169.903,86 ;494.087,13;462.268,90;1.747.223,28
sep/2003; 398.192,16 ; 177.217,53 ;614.913,68;575.409,69;1.854.607,76
oct/2003; 260.219,92 ; 181.668,03 ;433.084,99;441.887,95;1.699.713,25
nov/2003; 393.951,96 ; 205.624,08 ;627.189,78;599.576,04;2.233.856,06
dic/2003; 296.780,15 ; 161.477,73 ;745.524,88;458.257,88;1.784.554,15
ene/2004; 368.235,14 ; 173.427,23 ;762.385,45;541.662,37;2.254.213,30
feb/2004; 281.891,97 ; 147.939,23 ;460.947,50;429.831,20;1.746.259,10
mar/2004; 486.880,82 ; 275.539,38 ;772.128,26;762.420,20;2.468.706,33
abr/2004; 415.426,00 ; 245.156,34 ;809.194,95;660.582,34;2.479.124,63
may/2004; 350.052,95 ; 178.387,80 ;634.209,64;528.440,75;1.825.657,99
jun/2004; 311.238,01 ; 133.341,00 ;461.381,79;444.579,01;2.088.511,69
jul/2004; 249.710,69 ; 152.075,75 ;467.154,31;401.786,44;1.381.786,74
ago/2004; 434.578,12 ; 208.592,85 ;669.462,53;643.170,97;2.256.260,23
sep/2004; 420.550,29 ; 218.499,24 ;714.039,85;639.049,53;2.269.228,81
oct/2004; 366.886,30 ; 201.907,67 ;655.715,05;568.793,97;2.253.066,58
nov/2004; 434.710,94 ; 215.838,32 ;726.697,88;650.549,26;2.390.629,74
dic/2004; 433.149,96 ; 227.094,71 ;781.266,61;660.244,67;2.026.332,47
ene/2005; 257.867,99 ; 202.374,33 ;663.058,79;460.242,32;2.196.379,03
feb/2005; 306.660,39 ; 178.104,72 ;683.664,39;484.765,11;1.726.789,49
mar/2005; 431.907,81 ; 217.667,69 ;778.645,07;649.575,50;2.374.891,27
abr/2005; 534.151,81 ; 234.492,03 ;708.164,74;768.643,84;2.521.198,75
may/2005; 378.616,30 ; 192.734,40 ;875.087,62;571.350,70;2.822.615,50
jun/2005; 537.398,43 ; 243.343,68 ;1.041.016,72;780.742,11;2.601.240,49
jul/2005; 363.410,90 ; 175.946,30 ;770.731,74;539.357,20;2.637.200,61
ago/2005; 566.618,55 ; 173.810,38 ;815.435,20;740.428,93;1.910.352,85
sep/2005; 193.484,50 ; 81.015,30 ;229.764,74;274.499,80;1.713.719,74
